Gene_A,Gene_B,posterior_edge
Ighg,Igk,0.7952173290237771
Ighg,Igkc,0.8724629101290318
Ighg,Ighg,0.8399334931492628
Ighg,Igkv8-30,0.7071034533441677
Ighg,Trim21,0.6689618518138478
Igh,Igkc,0.8110017924033638
Igh,Igkv8-30,0.6729287492831144
Igh,scFv,0.5900488125324317
Igh,Igh,0.737002909077713
Ankrd31,Ankrd31,0.5
Ankrd31,Rec114,0.5
Rec114,Top6bl,0.5
Rec114,Rec114,0.5
Frmpd3,Dlg4,0.5
Dlg4,Kalrn,0.5033320899276238
Dlg4,Gnai1,0.5
Dlg4,Shank1,0.5033320899276238
Dlg4,Syngap1,0.7125710595689684
Dlg4,Phb2,0.5
Dlg4,Prrt1,0.5
Dlg4,Cacng2,0.5000000000000007
Dlg4,Nefl,0.5
Dlg4,Eef1a1,0.5
Dlg4,Camk2a,0.525542334964352
Dlg4,Cntn1,0.5
Dlg4,Glul,0.5000000000000004
Dlg4,Cnp,0.5
Dlg4,Kcna1,0.5
Dlg4,Kcna3,0.5
Dlg4,Cfl1,0.5
Dlg4,Gnao1,0.5000000000000004
Dlg4,Gria1,0.5000000000000023
Dlg4,Gria2,0.5000000000000023
Dlg4,Camk2b,0.5000000021186816
Dlg4,Prkar2b,0.5000000005598201
Dlg4,Grin2a,0.5082547702551466
Dlg4,Grin1,0.521726234060591
Dlg4,Prdx1,0.5
Dlg4,Gpm6a,0.5
Dlg4,Grik2,0.5
Dlg4,Septin2,0.5
Dlg4,Slc1a2,0.5
Dlg4,Syt1,0.5
Dlg4,Nsf,0.5005425530694129
Dlg4,Ina,0.5
Dlg4,Capza2,0.5
Dlg4,Ppp3cb,0.500000002118681
Dlg4,Cit,0.5
Dlg4,Gdi1,0.5
Dlg4,Kcnj4,0.5
Dlg4,Anks1a,0.5
Dlg4,Arpc4,0.5
Dlg4,Plp1,0.5
Dlg4,Arf3,0.5000000000000004
Dlg4,Ywhag,0.5267852457288043
Dlg4,Ywhae,0.5000000000000504
Dlg4,Kcnab2,0.5000000000000004
Dlg4,Gnb1,0.500000002118681
Dlg4,Rac1,0.5200889910852236
Dlg4,Mapk1,0.8622836949151998
Dlg4,Kcna2,0.5000000000000002
Dlg4,Kcnab1,0.5
Dlg4,Ppp3ca,0.500000002118681
Dlg4,Dlg3,0.5000000000000004
Dlg4,Grin2b,0.5393801103085081
Dlg4,Grin2c,0.5
Dlg4,Uba1,0.5000000029236712
Dlg4,Grin2d,0.5000000000000004
Dlg4,Clu,0.5
Dlg4,ptchd1,0.5
Dlg4,Lrfn1,0.5015298832481963
Dlg4,Agap2,0.5567527360056098
Dlg4,Fam81a,0.5000000000000004
Dlg4,Shank3,0.7345730537245198
Dlg4,Iqsec2,0.5000000000000004
Dlg4,Cyfip2,0.5
Dlg4,Abr,0.5
Dlg4,Traf3,0.8946579201205956
Dlg4,Prdx2,0.5
Dlg4,Kcna4,0.5000000000000004
Dlg4,Fscn1,0.5
Dlg4,Grik5,0.5
Dlg4,Sptbn1,0.5000000021186816
Dlg4,Begain,0.5000000000000004
Dlg4,Cltc,0.5
Dlg4,Nlgn2,0.5
Dlg4,Abtb3,0.5
Dlg4,Dlgap3,0.5000000021186816
Dlg4,Camk2d,0.5000000033667276
Dlg4,Ppp1r9b,0.5
Dlg4,Lrfn2,0.5
Dlg4,Dlg1,0.5000000000000007
Dlg4,Anks1b,0.5000000000000004
Dlg4,Dlgap2,0.5000000000000004
Dlg4,Baiap2,0.500000002118681
Dlg4,Pgam5,0.5
Dlg4,Nlgn3,0.5015298832481963
Dlg4,Septin11,0.5
Dlg4,Adgra1,0.5
Dlg4,Ablim1,0.5
Dlg4,Iqsec1,0.5000000021186816
Dlg4,Neto1,0.5
Dlg4,Sfxn3,0.500000002118681
Dlg4,Dlg2,0.5000000021186816
Dlg4,Basp1,0.5000000000000004
Dlg4,Lrp1,0.5
Dlg4,Tubb6,0.5
Dlg4,Plpp3,0.5
Dlg4,Park7,0.5
Dlg4,Ube2v1,0.6021907472333644
Dlg4,Ube2v2,0.6021907472333644
Dlg4,Dlgap1,0.5087698785814381
Dlg4,Lgi1,0.5
Dlg4,Kcnj10,0.5000000000000004
Dlg4,Grm3,0.5
Dlg4,Dstn,0.5
Dlg4,Gda,0.5000000000000004
Dlg4,Adam22,0.5507866285395067
Dlg4,Arc,0.5
Dlg4,Septin5,0.5
Dlg4,Gria4,0.5
Dlg4,Gria3,0.5000000000000004
Dlg4,Kcnj16,0.5
Tmem249,Tmem262,0.5
Tmem249,Catsper4,0.5
Tmem262,Catsperb,0.5
Tmem262,Catsper4,0.5
Catsper4,Catsper2,0.5
Catsper4,Catsperb,0.5
Catsper4,Catsperg2,0.5
Catsper4,Catsper3,0.5
LOC100046793,Ighg2b,0.6283738052250941
Ighg2b,Igkc,0.752488614955609
Ighg2b,Ighg2b,0.6562109568828587
Cfap210,Cfap210,0.9737298957878548
Cfap210,Fam183b,0.818575049804158
Cfap210,Tuba1a,0.9866877059955629
Cfap210,Cfap52,0.9711535087050875
Cfap210,Enkur,0.9779450234835163
Cfap210,Spaca9,0.9068828240311401
Cfap210,Cfap45,0.9763197854069536
Fam183b,Cfap45,0.8203167051688032
Tuba1a,Cimip2b,0.6267984126043161
Tuba1a,Tuba1a,0.9999999478042145
Tuba1a,Tekt4,0.9999523084776728
Tuba1a,Spag8,0.9883086131179117
Tuba1a,Cfap107,0.9448573534968446
Tuba1a,Pierce1,0.7861407019613048
Tuba1a,Cfap52,0.984040847669294
Tuba1a,Hsph1,0.6238005245018688
Tuba1a,Mns1,0.9934982885474968
Tuba1a,Cfap161,0.9984068369951739
Tuba1a,Enkur,0.9910181289790397
Tuba1a,Tubb2a,0.6872851958270194
Tuba1a,Spaca9,0.918012183730518
Tuba1a,Cfap20,0.8125254395498545
Tuba1a,Vash2,0.6650118719465967
Tuba1a,Efhb,0.9976061336280375
Tuba1a,Cfap95,0.9871908237331442
Tuba1a,Efhc2,0.9997470979706014
Tuba1a,Ribc2,0.9974301655306134
Tuba1a,Cfap141,0.9736036771162528
Tuba1a,Efhc1,0.999938898647227
Tuba1a,Cfap45,0.9893484361895158
Tuba1a,Cfap276,0.9423899314382274
Tuba1a,Pacrg,0.7210031195826682
Tuba1a,Nme7,0.9992321288898378
Tuba1a,Hdac6,0.6238005245019554
Tuba1a,PIERCE2,0.7861407019613048
Cfap52,Efcab6,0.8046155052106264
Cfap52,Enkur,0.9753457123660958
Cfap52,Cfap45,0.9737293131709803
Cfap52,Cfap276,0.9282696395351812
Cfap52,Cfap90,0.8972974880365157
Enkur,Spmip10,0.8045088052541177
Enkur,Cfap45,0.9805579572793901
Enkur,Cfap276,0.9344429981801151
Enkur,Cfap90,0.9030243938359617
Spaca9,Spaca9,0.8494684079758685
Cfap45,Cfap20,0.8058677021563344
Cfap45,Cfap45,0.9789238339978605
Cfap45,Cfap90,0.9016539211697296
Bicdl1,Bicdl1,0.5
Vk,Vk,0.5
Mpeg1,Mpeg1,0.5
Pkd2l1,Pkd2l1,0.5
Pkd2l1,Pkd1l3,0.5
Cplane2,Fuz,0.5
Fuz,Intu,0.5
Fuz,Wdpcp,0.5
Prdm16,Cebpb,0.5545638147845195
Cebpb,Ppargc1a,0.6749199119775328
Cebpb,Cebpa,0.7416909516081007
Cebpb,Dapk1,0.5561927006531641
Cebpb,Retn,0.5713801036101555
Cebpb,Rps6ka2,0.5545638147845195
Med14,Med16,0.5
Med14,Med23,0.5
Med14,Med17,0.5
Med14,Med28,0.5
Med14,Med6,0.5
Med14,Med15,0.5
Med14,Med21,0.5
Med14,Med4,0.5
Med14,Med31,0.5
Med14,Med7,0.5
Med14,Med27,0.5
Med14,Med29,0.5
Med14,Med20,0.5
Med16,Med23,0.5
Med16,Med25,0.5
Med16,Med15,0.5
Med16,Med24,0.5
Med16,Med27,0.5
Med16,Med29,0.5
Med23,Med25,0.5
Med23,Med17,0.5
Med23,Med15,0.5
Med23,Med24,0.5
Med17,Med22,0.5
Med17,Med28,0.5
Med17,Med6,0.5
Med17,Med15,0.5
Med17,Med21,0.5
Med17,Med4,0.5
Med17,Med30,0.5
Med17,Med18,0.5
Med17,Med7,0.5
Med17,Med8,0.5
Med17,Med11,0.5
Med17,Med27,0.5
Med17,Med20,0.5
Med28,Med22,0.5
Med28,Med30,0.5
Med28,Med11,0.5
Med28,Med27,0.5
Med28,Med29,0.5
Med6,Med22,0.5
Med6,Med8,0.5
Med15,Med24,0.5
Med15,Med27,0.5
Med15,Med29,0.5
