geneSymbol,final_state
Dpf2,-1.0
Dtnbp1,1.0
Dync1h1,1.0
Dync1i2,1.0
Dync1li1,-1.0
Dync1li2,1.0
Ecd,-1.0
Ece2,-1.0
Edc4,1.0
Eef1akmt2,1.0
Eef2k,1.0
Eefsec,-1.0
Egln1,1.0
Ehbp1l1,-1.0
Ehmt2,1.0
Eif2b3,1.0
Eif2d,-1.0
Eif3a,1.0
Eif3c,1.0
Eif4b,1.0
Eif4enif1,-1.0
Eif4g1,1.0
Eif4g2,-1.0
Eif4g3,1.0
Eif5b,1.0
Elavl1,-1.0
Elf2,1.0
Elk3,-1.0
Elmsan1,1.0
Emd,1.0
Emg1,1.0
Eml3,1.0
Eml4,-1.0
Enc1,1.0
Ep300,1.0
Ep400,1.0
Epb41,1.0
Epb41l1,-1.0
Epb41l2,-1.0
Epb41l3,1.0
Eprs,1.0
Eps15,1.0
Eps8,1.0
Epsti1,1.0
Erbin,1.0
Erf,1.0
Errfi1,1.0
Evi2b,-1.0
Evi5,1.0
Exoc1,1.0
Exoc7,1.0
Exosc10,1.0
Eya3,-1.0
Fam114a1,1.0
Fam117a,-1.0
Fam117b,-1.0
Fam126a,-1.0
Fam129b,1.0
Fam149b1,1.0
Fam160a2,-1.0
Fam162a,1.0
Fam193a,-1.0
Fam207a,1.0
Fam208a,1.0
Fam208b,1.0
Fam53b,-1.0
Fam53c,1.0
Fasn,1.0
Fbrs,-1.0
Fbrsl1,-1.0
Fbxo38,1.0
Fermt3,1.0
Fgd2,1.0
Fgd3,-1.0
Fgd6,1.0
Fgr,1.0
Fhl3,1.0
Fhod1,1.0
Filip1l,1.0
Fkbp15,1.0
Fkbp3,-1.0
Fkbpl,1.0
Flna,1.0
Fmn1,1.0
Fmnl1,1.0
Fnbp4,1.0
Fndc3a,1.0
Fnip1,-1.0
Fos,1.0
Foxk1,1.0
Foxk2,-1.0
Foxo3,1.0
Foxo4,1.0
Frmd4a,1.0
Frmd4b,1.0
Fry,-1.0
Fryl,-1.0
Fsd1l,-1.0
Fxr1,1.0
Fxr2,-1.0
Fyb1,-1.0
Gab2,1.0
Gab3,1.0
Gapvd1,-1.0
Gas2l1,1.0
Gas2l3,-1.0
Gas7,-1.0
Gatad2b,1.0
Gbf1,1.0
Gcc2,1.0
Gemin5,1.0
Gigyf2,1.0
Git1,-1.0
Glcci1,1.0
Gm17669,1.0
Gm27029,1.0
Gm9774,-1.0
Gmip,-1.0
Golga3,1.0
Golga4,1.0
Golga5,1.0
Gorasp2,1.0
Gosr1,1.0
Gpatch8,1.0
Gpbp1,-1.0
Gpbp1l1,1.0
Gpnmb,1.0
Gpr137b,1.0
Gramd1a,-1.0
Gramd1b,1.0
Gtf2f1,1.0
Gvin1,1.0
Gys1,-1.0
