Running on gpu-n37.crc.pitt.edu
workdir /ix/djishnu/Aaron_F/PGM_project/Bionic
Using CUDA
Preprocessing input networks...
Preprocessing finished: 3561 total nodes.
Epoch: 53 | Loss Total: 0.004039 | Loss 1: 0.001829 | Loss 2: 0.002210 | Time (s): 0.0987
Epoch: 54 | Loss Total: 0.004078 | Loss 1: 0.001770 | Loss 2: 0.002308 | Time (s): 0.0996
Epoch: 55 | Loss Total: 0.003886 | Loss 1: 0.001774 | Loss 2: 0.002112 | Time (s): 0.0991
Epoch: 56 | Loss Total: 0.003932 | Loss 1: 0.001807 | Loss 2: 0.002125 | Time (s): 0.1000
Epoch: 57 | Loss Total: 0.003839 | Loss 1: 0.001784 | Loss 2: 0.002056 | Time (s): 0.0991
Epoch: 58 | Loss Total: 0.003839 | Loss 1: 0.001802 | Loss 2: 0.002036 | Time (s): 0.0995
Epoch: 59 | Loss Total: 0.003855 | Loss 1: 0.001739 | Loss 2: 0.002116 | Time (s): 0.0994
Epoch: 60 | Loss Total: 0.003896 | Loss 1: 0.001740 | Loss 2: 0.002156 | Time (s): 0.0986
Epoch: 61 | Loss Total: 0.003859 | Loss 1: 0.001798 | Loss 2: 0.002061 | Time (s): 0.0993
Epoch: 62 | Loss Total: 0.003740 | Loss 1: 0.001735 | Loss 2: 0.002005 | Time (s): 0.0986
Epoch: 63 | Loss Total: 0.003740 | Loss 1: 0.001719 | Loss 2: 0.002020 | Time (s): 0.0994
Epoch: 64 | Loss Total: 0.003682 | Loss 1: 0.001759 | Loss 2: 0.001923 | Time (s): 0.0987
Epoch: 65 | Loss Total: 0.003713 | Loss 1: 0.001750 | Loss 2: 0.001963 | Time (s): 0.0995
Epoch: 66 | Loss Total: 0.003680 | Loss 1: 0.001740 | Loss 2: 0.001939 | Time (s): 0.0991
Epoch: 67 | Loss Total: 0.003719 | Loss 1: 0.001731 | Loss 2: 0.001988 | Time (s): 0.0983
Epoch: 68 | Loss Total: 0.003623 | Loss 1: 0.001773 | Loss 2: 0.001849 | Time (s): 0.0985
Epoch: 69 | Loss Total: 0.003593 | Loss 1: 0.001758 | Loss 2: 0.001834 | Time (s): 0.0990
Epoch: 70 | Loss Total: 0.003513 | Loss 1: 0.001699 | Loss 2: 0.001814 | Time (s): 0.0986
Epoch: 71 | Loss Total: 0.003506 | Loss 1: 0.001752 | Loss 2: 0.001754 | Time (s): 0.0990
Epoch: 72 | Loss Total: 0.003517 | Loss 1: 0.001751 | Loss 2: 0.001765 | Time (s): 0.0992
Epoch: 73 | Loss Total: 0.003498 | Loss 1: 0.001689 | Loss 2: 0.001810 | Time (s): 0.0988
Epoch: 74 | Loss Total: 0.003508 | Loss 1: 0.001709 | Loss 2: 0.001799 | Time (s): 0.0988
Epoch: 75 | Loss Total: 0.003384 | Loss 1: 0.001718 | Loss 2: 0.001666 | Time (s): 0.0989
Epoch: 76 | Loss Total: 0.003392 | Loss 1: 0.001716 | Loss 2: 0.001676 | Time (s): 0.0995
Epoch: 77 | Loss Total: 0.003413 | Loss 1: 0.001710 | Loss 2: 0.001704 | Time (s): 0.0988
Epoch: 78 | Loss Total: 0.003359 | Loss 1: 0.001714 | Loss 2: 0.001645 | Time (s): 0.0991
Epoch: 79 | Loss Total: 0.003335 | Loss 1: 0.001701 | Loss 2: 0.001634 | Time (s): 0.0989
Epoch: 80 | Loss Total: 0.003338 | Loss 1: 0.001681 | Loss 2: 0.001657 | Time (s): 0.0986
Epoch: 81 | Loss Total: 0.003365 | Loss 1: 0.001757 | Loss 2: 0.001608 | Time (s): 0.0985
Epoch: 82 | Loss Total: 0.003281 | Loss 1: 0.001689 | Loss 2: 0.001592 | Time (s): 0.0985
Epoch: 83 | Loss Total: 0.003258 | Loss 1: 0.001684 | Loss 2: 0.001574 | Time (s): 0.0989
Epoch: 84 | Loss Total: 0.003276 | Loss 1: 0.001690 | Loss 2: 0.001586 | Time (s): 0.0994
Epoch: 85 | Loss Total: 0.003243 | Loss 1: 0.001712 | Loss 2: 0.001531 | Time (s): 0.0988
Epoch: 86 | Loss Total: 0.003302 | Loss 1: 0.001683 | Loss 2: 0.001620 | Time (s): 0.0987
Epoch: 87 | Loss Total: 0.003321 | Loss 1: 0.001765 | Loss 2: 0.001556 | Time (s): 0.0990
Epoch: 88 | Loss Total: 0.003238 | Loss 1: 0.001662 | Loss 2: 0.001576 | Time (s): 0.0984
Epoch: 89 | Loss Total: 0.003160 | Loss 1: 0.001710 | Loss 2: 0.001450 | Time (s): 0.0986
Epoch: 90 | Loss Total: 0.003184 | Loss 1: 0.001695 | Loss 2: 0.001489 | Time (s): 0.0995
Epoch: 91 | Loss Total: 0.003145 | Loss 1: 0.001690 | Loss 2: 0.001455 | Time (s): 0.0996
Epoch: 92 | Loss Total: 0.003226 | Loss 1: 0.001712 | Loss 2: 0.001515 | Time (s): 0.0992
Epoch: 93 | Loss Total: 0.003138 | Loss 1: 0.001685 | Loss 2: 0.001453 | Time (s): 0.0989
Epoch: 94 | Loss Total: 0.003056 | Loss 1: 0.001700 | Loss 2: 0.001356 | Time (s): 0.0991
Epoch: 95 | Loss Total: 0.003077 | Loss 1: 0.001654 | Loss 2: 0.001423 | Time (s): 0.0988
Epoch: 96 | Loss Total: 0.003076 | Loss 1: 0.001697 | Loss 2: 0.001379 | Time (s): 0.0990
Epoch: 97 | Loss Total: 0.003042 | Loss 1: 0.001676 | Loss 2: 0.001366 | Time (s): 0.0984
Epoch: 98 | Loss Total: 0.003097 | Loss 1: 0.001690 | Loss 2: 0.001408 | Time (s): 0.0985
Epoch: 99 | Loss Total: 0.003054 | Loss 1: 0.001753 | Loss 2: 0.001301 | Time (s): 0.0985
Epoch: 100 | Loss Total: 0.002995 | Loss 1: 0.001627 | Loss 2: 0.001367 | Time (s): 0.0988
Epoch: 101 | Loss Total: 0.002987 | Loss 1: 0.001681 | Loss 2: 0.001306 | Time (s): 0.1000
Epoch: 102 | Loss Total: 0.003011 | Loss 1: 0.001681 | Loss 2: 0.001330 | Time (s): 0.0996
Epoch: 103 | Loss Total: 0.002937 | Loss 1: 0.001717 | Loss 2: 0.001220 | Time (s): 0.0989
Epoch: 104 | Loss Total: 0.002949 | Loss 1: 0.001694 | Loss 2: 0.001255 | Time (s): 0.0989
Epoch: 105 | Loss Total: 0.002911 | Loss 1: 0.001626 | Loss 2: 0.001285 | Time (s): 0.0987
Epoch: 106 | Loss Total: 0.003006 | Loss 1: 0.001723 | Loss 2: 0.001283 | Time (s): 0.0989
Epoch: 107 | Loss Total: 0.002921 | Loss 1: 0.001684 | Loss 2: 0.001237 | Time (s): 0.0994
Epoch: 108 | Loss Total: 0.003013 | Loss 1: 0.001735 | Loss 2: 0.001278 | Time (s): 0.0985
Epoch: 109 | Loss Total: 0.002930 | Loss 1: 0.001664 | Loss 2: 0.001266 | Time (s): 0.0988
Epoch: 110 | Loss Total: 0.002922 | Loss 1: 0.001685 | Loss 2: 0.001237 | Time (s): 0.0998
Epoch: 111 | Loss Total: 0.002830 | Loss 1: 0.001677 | Loss 2: 0.001153 | Time (s): 0.0987
Epoch: 112 | Loss Total: 0.002864 | Loss 1: 0.001681 | Loss 2: 0.001183 | Time (s): 0.0990
Epoch: 113 | Loss Total: 0.002873 | Loss 1: 0.001695 | Loss 2: 0.001178 | Time (s): 0.0988
Epoch: 114 | Loss Total: 0.002841 | Loss 1: 0.001677 | Loss 2: 0.001164 | Time (s): 0.0984
Epoch: 115 | Loss Total: 0.002835 | Loss 1: 0.001678 | Loss 2: 0.001156 | Time (s): 0.0995
Epoch: 116 | Loss Total: 0.002822 | Loss 1: 0.001717 | Loss 2: 0.001106 | Time (s): 0.0995
Epoch: 117 | Loss Total: 0.002818 | Loss 1: 0.001663 | Loss 2: 0.001155 | Time (s): 0.0986
Epoch: 118 | Loss Total: 0.002784 | Loss 1: 0.001669 | Loss 2: 0.001116 | Time (s): 0.0991
Epoch: 119 | Loss Total: 0.002715 | Loss 1: 0.001677 | Loss 2: 0.001037 | Time (s): 0.0989
Epoch: 120 | Loss Total: 0.002808 | Loss 1: 0.001693 | Loss 2: 0.001115 | Time (s): 0.0987
